OBJECTID,agency,comments,mapmethod,datecurrent,uniquefireidentifier,fireyear,incidentname,pooownerunit,perimeterdatetime,gisacres,complexname,firecode,complexparentirwinid,pooresponsibleunit,state,inciwebid,localincidentidentifier,irwinid,incomplex,complexfirecode,SHAPE_Length,SHAPE_Area
1861,USFS,Event Standard Perims,Mixed Methods,2017/12/14 00:00:00+00,2017-CASQF-002385,2017,PIER,CASQF,2017/10/06 00:00:00+00,36619.42576803,,LA1W,,CASQF,CA,5548,002385,{34C1BA5F-65D8-4BA8-9A44-BC930B668F5A},N,,0.910717140311191,0.0148354660329784
2005,USFS,IR heat perimeter,Infrared Image,2015/10/13 00:00:00+00,2015-CASHF-002067,2015,Fork Complex,,2015/10/10 21:48:00+00,36527.36512032,Fork Complex,J0HS,{73BDB68A-DE20-4FF6-88B9-07C0061A465F},CASHF,CA,4428,002067,{73BDB68A-DE20-4FF6-88B9-07C0061A465F},Y,J0HS,1.77527968459714,0.0156996442716308
2402,USFS,,Infrared Image,2018/09/10 00:00:00+00,2018-CASTF-001702,2018,DONNELL,CASTF,2018/09/10 03:00:00+00,36519.14319578,,L2FY,,CASTF,CA,6092,001702,{01594A1D-BC74-4A5C-A4CC-1A5FBD86F82C},N,,2.46814505660873,0.0152365674996958
2557,USFS,FIMT,Unknown,2014/09/29 00:00:00+00,2014-CAKNF-005956,2014,Happy Camp Complex,,2014/09/27 20:28:00+00,135476.76692789,Happy Camp Complex,JB1F,{6787d235-42f9-4973-a979-83d823328d5f},CAKNF,CA,4078,005956,{6787D235-42F9-4973-A979-83D823328D5F},Y,JB1F,3.00682919916851,0.0593013361527849
2659,USFS,WFDSS,Infrared Image,2016/09/21 00:00:00+00,2016-CAKNF-007501,2016,GAP,CAKNF,2016/09/20 14:31:00+00,33011.32696559,,KN0B,,CAKNF,CA,4997,007501,{FD3E6CF9-9E66-4763-B3C0-88263D2D3968},N,,1.96543026454159,0.0144849348810935
2814,USFS,,Infrared Image,2018/08/30 00:00:00+00,2018-CAMDF-001193,2018,STONE,CAMDF,2018/08/29 23:35:00+00,39391.8662928,,L3GU,,CAMDF,CA,6148,001193,{FA54DA8D-9C94-4CD6-9C30-F7EF25522803},N,,1.09098083785422,0.0171706360744845
2896,CDF,"FGX, Final",Unknown,2016/11/02 00:00:00+00,2016-CABEU-003422,2016,SOBERANES,CABEU,2016/10/29 00:00:00+00,132122.55220633,,KG7Z,,CABEU,CA,4888,003422,{EB4671D6-4D4D-431A-A6A7-0B2C1A7FDF8A},N,,3.87023196284716,0.0536631378088651
2991,USFS,WFDSS,Mixed Methods,2016/08/05 00:00:00+00,2016-CAANF-003008,2016,SAND,CAANF,2016/08/04 18:00:00+00,41383.01834731,,KG9X,,CAANF,CA,4878,003008,{3B5DBC5A-EB85-490A-A023-3E7D19E7D801},N,,1.00854324065662,0.0164164176565662
3014,CDF,,Mixed Methods,2018/09/02 00:00:00+00,2018-CAMEU-008653,2018,RIVER,CAMEU,2018/09/02 05:15:00+00,48920.3996722,Mendocino Complex,L1WH,{E5297875-5551-479A-B839-93B16FF4EE6E},CAMEU,CA,,008653,{431698D9-CFC9-4E5C-92F2-D85C7CE6CFB8},Y,,1.00018867770132,0.0206022665725226
3258,CDF,WFDSS,Infrared Image,2016/09/06 00:00:00+00,2016-CASLU-008948,2016,CHIMNEY,CASLU,2016/09/04 06:45:00+00,46233.97963302,,KL4A,,CASLU,CA,,008948,{AA6E1B45-641E-4389-BB11-6F822A266A8B},N,,1.11070055489461,0.0186421678568137
3513,USFS,,Mixed Methods,2018/10/26 00:00:00+00,2018-CASHF-001444,2018,DELTA,CASHF,2018/10/20 00:00:00+00,63505.60029224,,L4L8,,CASHF,CA,6191,001444,{A93E1B54-65CD-4C63-BD08-10697F88A250},N,,1.70483652849029,0.027506163301434
3567,USFS,IR heat perimeter,Infrared Image,2015/09/20 00:00:00+00,2015-CASRF-001488,2015,Gasquet Complex,,2015/09/20 01:02:00+00,30361.93201353,Gasquet Complex,J0PQ,{7BB4E4E1-B9DD-4F00-8EF1-B3AC366FEF60},CASRF,CA,4444,001488,{7BB4E4E1-B9DD-4F00-8EF1-B3AC366FEF60},Y,J0PQ,1.90317405468026,0.0132940074552531
3634,USFS,IR heat perimeter,Infrared Image,2015/10/15 00:00:00+00,2015-CASRF-001476,2015,Route Complex,,2015/10/14 21:13:00+00,35700.34638926,Route Complex,J0N7,{36388BE6-16C8-4DB1-8A0F-694429AC7633},CASRF,CA,4447,001476,{36388BE6-16C8-4DB1-8A0F-694429AC7633},Y,J0N7,1.48024148060701,0.0153687156728784
3784,USFS,IR heat perimeter,Infrared Image,2015/10/15 00:00:00+00,2015-CASHF-002066,2015,River Complex,,2015/10/14 20:39:00+00,77414.16343815,River Complex,J0HR,{1FE0DBA3-802B-4D0A-B4F7-D0A5BBFF1D7B},CASHF,CA,4431,002066,{1FE0DBA3-802B-4D0A-B4F7-D0A5BBFF1D7B},Y,J0HR,2.28414301559836,0.0334893102289714
3805,USFS,FIMT,,2015/09/09 00:00:00+00,2015-CASRF-001433,2015,Mad River Complex,,2015/09/01 21:52:00+00,37490.25444751,Mad River Complex,J0JC,{F7197F47-AE99-4808-8776-6898B6ED999E},CASRF,CA,4436,001433,{F7197F47-AE99-4808-8776-6898B6ED999E},Y,J0JC,1.51367710471112,0.0160801066337147
4083,USFS,IR heat perimeter,Infrared Image,2015/07/06 00:00:00+00,2015-CABDF-007894,2015,Lake,,2015/07/04 19:36:00+00,31284.44147598,,JS38,,CABDF,CA,4302,007894,{CD251B9C-8A86-4C33-BE4B-019E071A6FAA},N,,1.31443912778966,0.0123751944194165
4128,USFS,IR heat perimeter,Infrared Image,2015/10/13 00:00:00+00,2015-CASNF-001746,2015,Rough,,2015/10/10 19:57:00+00,151546.81264711,,J0R9,,CASNF,CA,4456,001746,{457DB47D-80EC-4812-8C93-C37D912855B3},N,,3.25747112675301,0.0619572405522573
4146,State Agency,IR heat perimeter,Infrared Image,2015/09/28 00:00:00+00,2015-CAAEU-024918,2015,Butte,,2015/09/27 21:48:00+00,70853.5190539,,J3EV,,CAAEU,CA,,024918,{E3B7BF8C-BB32-47DF-B625-41382D4214E4},N,,1.59442018828105,0.0295161708352174
4393,USFS,,Unknown,2014/09/17 00:00:00+00,2014-CAKNF-005564,2014,July Complex,,2014/09/16 19:21:00+00,49056.74113252,July Complex,H91E,{C60F8D84-5F11-4B47-9756-7B44C56BBA8F},CAKNF,CA,4035,005564,{C60F8D84-5F11-4B47-9756-7B44C56BBA8F},Y,H91E,2.75304737818668,0.0213703313072729
4691,USFS,IR heat perimeter,Infrared Image,2014/10/14 00:00:00+00,2014-CAKNF-005956,2014,Frying Pan Faulkstein,,2014/10/13 23:25:00+00,133177.38064885,Happy Camp Complex,,{6787d235-42f9-4973-a979-83d823328d5f},CAKNF,CA,4078,005956,,Y,JB1F,3.16941382954033,0.0582959681994452
4694,USFS,IR heat perimeter,Infrared Image,2014/08/28 00:00:00+00,2014-CAKNF-006008,2014,Frying Pan,,2014/08/27 22:54:59+00,26697.68062054,Happy Camp Complex,,{6787d235-42f9-4973-a979-83d823328d5f},CAKNF,CA,4078,006008,{DAE5294F-47EB-47B5-BF15-98C09F55B897},Y,JB1F,1.2993103562042,0.011694152853062
4927,State Agency,IR heat perimeter,Infrared Image,2013/07/29 00:00:00+00,2013-CARRU-071832,2013,Mountain,,2013/07/28 02:29:59+00,27516.67887234,,HQ0T,,CARRU,CA,3516,071832,,N,,0.788107225895792,0.0108322892725423
5495,BLM,IR heat perimeter,Infrared Image,2012/08/30 00:00:00+00,2012-CANOD-003390,2012,Rush,,2012/08/30 08:29:59+00,315510.3865798,,G5Z8,,CANOD,CA,3151,003390,,N,,4.30223575435653,0.135872924877841
5528,NPS,FIMT,Unknown,2012/08/22 00:00:00+00,2012-CALNP-003115,2012,Reading,,2012/08/21 21:21:59+00,28073.20238748,,G3H7,,CALNP,CA,3112,003115,,N,,0.67761510518128,0.0120788549733964
5582,USFS,"IR heat perimeter; Time in GMT",Infrared Image,2012/09/24 00:00:00+00,2012-CASHF-002744,2012,Fort Bagley Complex,,2012/09/24 08:45:00+00,46040.69923698,Fort Bagley Complex,,,CASHF,CA,3188,002744,,Y,G6JV,0.914103530237173,0.0199523410873772
5702,USFS,FIMT,Unknown,2012/09/06 00:00:00+00,2012-CAPNF-001001,2012,Chips,,2012/09/06 01:30:00+00,75447.8362671,,G32E,,CAPNF,CA,3052,001001,,N,,1.79058765678401,0.0322457199506529
5763,State agency,,Unknown,2006/07/22 00:00:00+00,2006-CACSR-000059,2006,Sawtooth,,2006/07/22 00:00:00+00,63422.34667158,Sawtooth Complex,CXG0,,CACSR,CA,,000059,,Y,,1.42869156573306,0.02508572528731
6181,CDF,"FIMT; Original Data in Mendocino Lake Complex but no Irwin link to complex; Marked as FINAL perim",Unknown,2017/10/20 00:00:00+00,2017-CAMEU-012172,2017,Redwood Valley Incident,CAMEU,2017/10/19 08:47:00+00,36522.94392037,,,,CAMEU,CA,,012172,{A1C8250D-659A-4D05-AC6F-6A0445D0E237},N,,1.10663025836696,0.0154406286292167
7192,BLM,FIMT,Unknown,2017/07/21 00:00:00+00,2017-CANOD-030366,2017,Long Valley,CANOD,2017/07/20 22:02:59+00,83581.41154905,,K496,,CANOD,CA,5354,030366,{68535303-069F-40FD-980F-FB66F9C87B4F},N,,2.02102674978643,0.0356788662942738
